YYYYMM,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
201807,2.21,3.5,5.24,-6.09,-4.11,1.96,0.37,6.09,4.85,-8.89,2.63,4.24,6.36,10.09,-3.07,7.28,-2.24,-2.76,1.02,1.73,2.7,1.95,2.79,5.95,7.89,2.39,3.55,1.16,4.27,6.17
201808,-0.45,-1.86,-5.43,2.86,-4.44,2.6,5.25,4.46,0.01,3.8,0.49,-3.23,-1.94,0.57,-1.74,-2.17,-10.75,-0.51,-2.9,0.91,2.94,5.29,9.89,-0.34,2.91,3.66,9.16,3.64,2.45,2.97
201809,-0.34,0.19,5.37,-0.08,-2.17,1.19,1.29,1.99,-2.87,-6.38,-2.96,-0.67,0.89,0.94,-5.02,6.45,-1.72,-5.38,3.55,-0.55,1.75,-0.43,-0.31,-0.3,1.04,-1.48,0.61,2.51,-1.94,1.22
201810,0.99,-1.57,7.9,-15.95,-6.6,-0.77,-10.13,-8.84,-12.5,-25.79,-13.18,-11.62,-13.79,-13.65,0.87,-9.36,-10.32,1.47,-12.1,-0.06,-0.53,-9.23,-8.07,-9.82,-9.77,-7.88,-10.26,-1.71,-5.45,-5.9
201811,2.68,5.79,-8.43,-0.67,3.33,6.33,-1,6.3,4.96,2.92,3.64,-3,7.05,5.16,3.76,0.77,-0.95,-14.14,-2.36,3.27,2.53,1.28,-5.08,8.22,6.15,3.18,1.59,6.15,2.88,3.53
201812,-9.74,-9.69,-15.8,-8.21,-15.29,-5.69,-7.31,-8.41,-7.76,-10.09,-11.05,-14.78,-9.78,-11.57,-11.3,-10.66,-7.05,-2.07,-13.27,-4.75,-8.86,-7.66,-9.23,-8.63,-15.19,-11.21,-9.2,-6.28,-11.45,-6.9
201901,6.63,3.53,7.85,18.85,13.79,6.41,12.31,5.01,5.52,9.71,13.16,17.11,11.35,11.23,9.82,15.04,7.68,13.9,10.45,5.41,5.69,11.01,7.42,8.17,9.88,8.83,8.84,4.8,9.69,4.95
201902,-3.37,2.46,10.2,4.01,4.3,5.15,5.51,3.05,3.92,6.84,4.11,2.27,3.96,5.43,2.66,9.93,6.58,-3.81,2.44,3.62,3.32,4.55,7.12,3.06,4.19,4.53,-0.08,4.64,2.96,0.1
201903,3.86,4.87,6.45,-0.08,-5.69,4.38,-0.31,0.62,-1.48,-7.76,0.32,-4.65,0.38,-1.94,-6.01,-6.66,5.4,-1.37,2.04,3.32,0.3,3.05,4.37,1.41,-0.36,-1.52,3.86,3.84,-2.32,-0.01
201904,3.68,6.56,-3.56,6.07,1.53,3.35,4.89,-3.05,5.51,6.78,7.33,-2.64,6.34,5.21,4.32,3.53,-1.48,2.98,0.06,1.02,6.34,6.3,5.51,-2.06,4.66,3.91,4.92,4.05,7.08,7.16
201905,-3.06,-3.96,-10.29,-8.44,-9.88,-4.05,-11.01,-3.46,-12.91,-2.39,-7.24,-15.46,-11.65,-10.76,-14.42,-8.94,-8.46,-11.14,-11.91,-1.54,-3.05,-5.9,-11.78,-9.19,-9.41,-5.94,-7.03,-2.03,-5.43,-7.04
201906,4.58,5.3,1.03,7.11,7.83,7.14,9.04,7.26,3.44,9.86,8.81,16.05,12.23,11.15,13.86,7.35,14.88,3.02,8.91,3.64,5.03,5.73,11.19,8.58,6.82,7.46,7.17,7.62,6.24,7.45
201907,2.66,-2.12,3.37,-1.99,3.58,4.91,1.74,-1.81,0.73,-11.01,0.13,-2.51,0.52,-1.35,0.88,-2.08,-2.54,-11.7,-2.64,-0.88,1.86,3.58,3.51,0.55,2.27,0.42,0.44,3.18,3,-2.36
201908,1.08,6.19,-11.04,-5.88,-4.59,1.58,-4.98,-0.45,-5.66,-5.47,0.17,-12.01,-6.29,-4.26,-7.98,3.37,-3.57,-15.02,-8.86,3.55,0.43,-2.13,-3.59,-2.96,-6.87,-2.34,-0.12,1.34,-4.69,-2.13
201909,0.5,1.62,1.95,-4.67,1.39,1.75,9.14,-0.54,5.6,7.41,6.3,7.16,6.04,4.75,5.74,2.45,3.85,-8.25,3.79,3.92,1.3,-1.06,4.36,1.74,0.54,5.36,0.96,-2.49,2.58,2.19
201910,-1.66,-1.04,8.1,5.84,1.35,-0.72,-2.18,4.47,-0.95,10.62,2.89,3.56,6.18,4.03,7,-3.55,0.78,-11.14,-2.06,-1.39,2.23,1.88,5.37,0,1.37,2.45,1.65,-4.27,3.29,1.89
201911,1.99,-0.59,5.52,6.15,-0.99,-1.28,4.67,5.3,3.82,-2.24,3.35,6.13,3.06,8.05,3.15,6.4,4.14,-9.63,1.26,-2.07,1.75,5.03,4.78,3.12,2.75,4.41,2.06,2.82,5.68,4.24
201912,3.58,1.38,3.22,3.97,3.23,2.65,7.68,3.33,1.35,-3.42,-0.1,0.71,3.89,2.16,7.34,-5.03,9.76,0.5,6.35,3.94,1.23,1.79,6.24,2.17,-0.24,2.39,1.21,2.59,2.6,2.05
