YYYYMM,Agric,Mines,Oil  ,Stone,Cnstr,Food ,Smoke,Txtls,Apprl,Wood ,Chair,Paper,Print,Chems,Ptrlm,Rubbr,Lethr,Glass,Metal,MtlPr,Machn,Elctr,Cars ,Instr,Manuf,Trans,Phone,TV   ,Utils,Garbg,Whlsl,Rtail,Money,Srvc ,Govt ,Other
201702,3.96,-8.93,-4.81,-7.49,2.34,2.63,7.97,4.01,-1.37,7.46,1.41,1.74,-0.38,6.6,-0.22,6.31,1.54,3.57,9.19,0.16,5.31,6.56,4.16,4.98,5.39,2.6,-0.88,0.58,4.02,6.13,2.68,2.84,4.61,3.21,3.57,5.74
201703,-0.43,-2.3,-1.38,-1.44,3.53,0.71,1.06,1.29,1.86,4.03,2.29,-1.26,-0.83,-0.15,-1.09,-1.1,5.99,0.61,-6.14,1.22,0.91,3.54,-1,1.06,0.66,-2.77,-0.85,2.16,0.32,0.71,-1.08,1.07,-2.23,1.97,-2.23,1.28
201704,3.08,-1.75,-5.6,-1.38,0.14,0.93,-0.09,2.59,-0.57,3.19,4,1.87,-0.71,0.38,-0.5,0.66,-3.66,-1.72,-0.5,2.71,3.05,-0.33,3,4.99,-1.06,2.19,-1.66,1.07,0.36,0.41,-3.34,3.65,0.23,3.58,-1.43,1.89
201705,0.45,-2.73,-6.4,1.62,-2.97,2.42,6.18,1.75,-3.31,-6.15,-0.54,-0.39,-1.74,-0.39,-1.14,-3.13,10.61,-1.19,-4.6,0.47,0.54,5.9,1.78,2.94,7.13,2.74,-1.28,-2.39,2.58,0.03,2.37,1.48,-0.97,3.58,-1.44,4.78
201706,1.03,-0.77,-2.82,0.14,5.86,-2.47,-0.94,1.57,8.73,5.62,1.35,2.96,2.94,4.25,1.73,8.76,4.92,4.52,-0.22,1.59,-1.3,-3.94,2,1.61,0.48,3.44,-3.53,-1.33,-1.89,-0.14,0.23,-2.32,5.75,-0.52,1.78,1.74
201707,-0.82,14.79,2.68,-2.21,-0.05,1.66,-5.99,2.21,3.07,1.66,-0.6,-2.5,2.37,1.57,1.5,-1.42,-1.15,-0.56,1.31,0.37,2.87,3.35,3.88,0.45,-2.18,-4.43,5,5.51,2.99,2.16,-0.89,0.2,1.93,3.59,1.33,-2.55
201708,0.17,2.35,-9.25,-2.9,0.16,-1.91,-0.87,1.25,0.37,-2.56,-2.12,0.04,-6.21,2.21,-2.06,-8.02,-7.44,3.39,1.65,-1.97,-0.36,4.9,2.37,1.78,-8.37,0.69,-1.79,-3.08,2.21,0.61,-4.29,-1.26,-1.23,1.33,1.75,1.96
201709,2.63,-2.84,15.11,1.03,7.25,-0.51,-2.04,0.13,3.89,10.76,8.78,0.79,3.59,2.06,8.39,0.96,0.37,6.5,3.72,6.5,6.94,-0.12,4.39,1.91,-6.16,6.32,1.91,-4.13,-1.96,2.17,4.65,2.2,5.15,0.9,0.97,2.31
201710,1.7,1.27,-0.6,2.06,9.29,0.88,-2.81,5.41,0.48,3.6,0.21,0.79,-1.76,-2.45,0.95,4.06,2.73,1.88,2.23,1.76,3.73,8.89,1.87,3.82,-4.94,-1.88,-7.25,-4.64,3.1,1.27,-0.84,3.28,3.3,5.59,-1.33,7.62
201711,-1.56,0.78,2.53,1.17,9,4.62,1.42,7.56,5.56,4.64,2.68,3.38,10.16,2.4,3.19,7.98,6.27,8.38,-1.38,1.91,3.54,2.02,2.76,3.08,-6.69,6.71,4.93,2.91,2.41,-0.37,3.72,8.68,3.83,0.55,2.11,5.94
201712,-1.86,15.09,7.6,3.62,0.81,1.24,4.96,-2.23,4.35,0.61,0.88,2.2,1.07,0.74,3.05,2.47,7.85,0.87,13.19,0.84,1.98,-1.04,1.69,-2.58,-2.73,2.84,4.82,4.44,-5.01,4.62,4.3,2.18,0.98,0.7,1.15,-2.2
201801,4.3,3.17,3.47,3.73,-1.3,1.6,0.13,1.6,6.39,3.44,1.67,3.03,4.39,3.91,2.34,7.21,4.42,-0.24,3.61,1.13,6.32,3.21,8.85,9,-2.61,2.68,0.17,5.28,-2.81,2.79,4.83,10.06,6.1,9.48,5.78,5.36
201802,1.2,1.37,-11.39,-12.23,-10.35,-7.2,-6.62,-12.35,-3.27,-10.09,-5.94,-5.22,-3.23,-4.55,-10.75,-4.19,2.69,-9.86,-1.99,-6.11,-0.25,2.02,-1.97,-2.96,-1.99,-6.65,-6.77,-7.68,-4.52,-4.12,-5.56,-4.62,-2.55,-1.54,-4.76,-5.49
201803,-4.92,-0.57,4.86,-1.24,1.87,-0.85,-1.65,-2.14,1.4,-1.4,-0.34,-3.1,0.32,-1.82,1.68,-0.4,1.23,2.74,-5.86,-0.64,-2.1,-3.38,-5.87,0.02,-6.01,0.53,-0.96,-3.57,3.21,-1.86,-1.04,-2.76,-3.37,-3,-3.72,-5.84
201804,7.99,-4.17,12.56,-0.83,-0.87,-2.97,-14.16,-9.54,4.99,-5.99,-3.3,-3.36,-0.72,-1.46,8.39,1.81,-2.58,-7.27,3.66,-2.33,-2.26,-3,-1.47,-0.74,6.1,0.5,-0.51,-3.73,2.77,-2.6,0.83,4.33,1.18,1.35,-1.87,-8.65
201805,1.93,1.26,2.02,10.93,-0.55,-1.07,-1.87,-1.36,5.55,7.46,5.32,0.9,-0.58,0.99,4.62,3.59,-4.36,2.37,5.62,2.19,0.77,11.14,3.6,4.83,-3.63,4.86,-3.17,0.65,0.21,3.73,1.69,0.73,0.4,5.97,-0.62,1.85
201806,-3.07,-1.27,1.94,-1.13,-1.87,5.17,3.07,3.36,3.68,-2.47,-0.77,0.57,2.3,1.63,-0.65,8.54,4.44,0.39,-5.14,-1.92,-2.42,-2.78,-2.09,0.32,6.99,-3.65,3.17,8.56,2.61,0.85,0.23,3.42,-0.98,1.25,-2.16,-0.08
201807,0.4,0.59,0.16,-9,-0.27,2.57,5.24,-8.89,4.4,2.8,1.15,3.95,-3.94,5.94,1.88,-1.17,-0.74,0.84,4.24,7.06,3.05,2.53,4.1,5.21,2.96,7.89,2.05,3.21,1.73,7.97,2.39,3.25,4.27,1.53,5.89,7.47
201808,-3.89,-11.66,-4.15,-5.79,0.72,-0.82,-5.43,3.8,2.72,0.13,0.54,-0.13,-4.36,3.16,-1.75,5.2,8.54,-3.4,-3.23,2.02,3.72,10.95,-1.79,4.58,-0.61,2.91,4.64,1.64,0.91,1.13,3.66,8.65,2.45,5.11,3.6,-0.15
201809,-5.72,-0.91,4.57,-4.67,-4.9,-0.16,5.37,-6.38,0.52,-4.29,-3.26,-1.54,-2.24,0.96,2.61,2.77,-2.62,-2.83,-0.67,1.97,0.58,-0.75,3.03,2.56,0.5,1.04,2.21,1.39,-0.55,-0.31,-1.48,0.84,-1.94,-0.4,0.89,0.18
201810,-3.85,-8.54,-16.22,-11.66,-9.39,0.31,7.9,-25.79,-9.24,-19.6,-11.43,-10.52,-6.56,-7.7,-8.48,-11.17,-8.85,-12.26,-11.62,-12.77,-10.87,-7.65,-7.13,-11.28,-15.05,-9.77,-0.25,-0.75,-0.06,-1.96,-7.88,-8.83,-5.45,-9.6,-5.13,-9.25
201811,-6.86,-5.47,-6.35,6.79,1.99,3.58,-8.43,2.92,-1.96,0.89,5.5,6.34,3.29,6.4,1.02,2.36,-4.42,6.07,-3,5.63,4.37,-8.32,2,4.93,10.49,6.15,3.14,2.05,3.27,4.46,3.18,2.38,2.88,1.19,3.23,9.45
201812,-13.07,-4.97,-15.69,-10.61,-9.7,-9.71,-15.8,-10.09,-12.55,-14.02,-9.53,-8.83,-15.08,-7.58,-11.33,-3.4,-10.16,-10.67,-14.78,-10.99,-9.68,-9.2,-11.14,-8.83,-14.98,-15.19,-8.16,-9.42,-4.75,-7.95,-11.21,-8.77,-11.45,-7.91,-6.24,-8.11
201901,14.3,8.87,13.92,6.44,13.19,5.73,7.85,9.71,14.75,19.49,16.78,7.12,13.62,4.54,7.89,9.55,10.81,12.28,17.11,12.7,11.02,6.4,12.86,8.26,11.45,9.88,3.81,7.2,5.41,8.21,8.83,8.19,9.69,11.29,4.06,6.61
201902,-0.28,4.73,-0.99,8.2,2.11,-1.8,10.2,6.84,7.2,5.52,6.13,1.21,4.34,3.42,5.18,3.97,2.89,1.77,2.27,6.06,6.01,6.68,7.41,5.62,-1.99,4.19,2.42,4.01,3.62,4.6,4.53,0.46,2.96,4.49,-0.81,4.24
201903,1.46,4.24,2.16,6.45,2.88,4.16,6.45,-7.76,1.43,-5.91,-5.72,4.17,-5.63,0.88,1.92,-0.94,-2.61,0.63,-4.65,-0.12,1.32,5.46,-6.01,1.63,-3.99,-0.36,0.76,-0.11,3.32,4.05,-1.52,4.02,-2.32,2.62,-0.13,0.88
201904,0.14,-4.56,1.04,6.75,8.04,4.52,-3.56,6.78,6.18,10.15,1.49,2.32,1.47,-1.03,-0.48,4.86,1.25,7.53,-2.64,4.27,5.28,6.37,4.54,-0.41,4.35,4.66,-0.37,12.33,1.02,4.02,3.91,4.67,7.07,6.2,7.43,-7.44
201905,-4.81,-10.05,-14.35,-5.77,-5.03,-3.31,-10.29,-2.39,-9.46,-7.88,-8.39,-5.89,-9.85,-5.04,-10.05,-12.06,-13.06,-6.04,-15.46,-7.82,-11.44,-14.12,-9.18,-3.37,-9.4,-9.41,-1.9,-3.95,-1.54,-0.61,-5.94,-6.16,-5.43,-5.98,-8.21,-12.99
201906,10.9,15.96,6.56,10.34,5.88,4.76,1.03,9.86,8.9,17.32,11.69,6.12,7.88,6.18,10.51,8.91,11.3,12.35,16.05,9.94,9.89,12.94,9.26,9.2,11.25,6.82,5.76,4.44,3.64,4.76,7.46,7.15,6.24,5.97,7.64,8.47
201907,0.52,-6.23,-4.96,3.31,-0.07,1.4,3.37,-11.01,1.1,2.47,0.48,0.78,3.52,-1.44,-0.97,1.34,0.66,-2.37,-2.51,0.82,1.85,5.13,-0.95,-0.11,7.68,2.27,1.85,1.87,-0.88,1.9,0.42,0.99,3,3.08,-2.91,0.61
201908,-1.3,-7.2,-13.39,1.29,3.2,2.51,-11.04,-5.47,-6.12,-3.63,-5.95,-1.92,-4.53,-0.8,-5.98,-2.16,-16.86,-6.52,-12.01,-0.65,-9.12,-2.15,0.38,0.37,-8.61,-6.87,2.33,-1.19,3.55,0.75,-2.34,0.4,-4.69,-2.71,-3.1,-5.92
201909,-4.12,0.7,3.09,7.52,6.4,0.94,1.95,7.41,6.08,6.44,5.31,4.03,1.37,0.64,4.14,9.38,14.4,7.72,7.16,1.64,5.32,4.59,3.15,1.11,8.04,0.54,4.35,-1.42,3.92,-1.62,5.36,0.32,2.58,-1.07,2.53,1.97
201910,-4.58,3.44,-5,-5.11,1.87,-1.42,8.1,10.62,-0.8,7.02,6.75,-1.3,1.29,3.35,-0.32,-2.79,2.44,-2.32,3.56,2.23,3.24,7.94,-0.56,1.83,-4.72,1.37,2.5,1.98,-1.39,-0.33,2.45,0.5,3.28,2.09,2.67,1.83
201911,-0.67,4.9,1.82,1.12,2.12,1.34,5.52,-2.24,4.49,5.52,0.66,4.72,-0.87,4.15,0.99,3.5,6.05,6.28,6.13,3.12,1,6.32,5.07,4.1,1.34,2.75,-1.77,5.06,-2.07,1.41,4.41,1.94,5.67,5.2,4.49,3.88
201912,11.14,12.72,15.04,3.29,-2.58,2.79,3.22,-3.42,7.55,1.38,3.54,1.54,3.26,3.4,1.61,7.21,3.47,-0.11,0.71,1.9,4.38,7.41,-0.64,2.06,5.09,-0.24,2.12,0.43,3.94,1.53,2.39,1.24,2.6,2.02,2.26,3.67
